%time,field.cur_steer_state0,field.cur_steer_state1,field.cur_steer_state2,field.cur_steer_dir0,field.cur_steer_dir1,field.cur_steer_dir2,field.cur_steer_vel0,field.cur_steer_vel1,field.cur_steer_vel2,field.cur_arm_angle0,field.cur_arm_angle1,field.cur_spring_length0,field.cur_spring_length1,field.odom_axis0,field.odom_axis1,field.odom_axis2,field.odom_cir0,field.odom_cir1,field.odom_cir2,field.cur_current10,field.cur_current11,field.cur_current12,field.cur_current20,field.cur_current21,field.cur_current22,field.cur_current30,field.cur_current31,field.cur_current32,field.mech_pos0,field.mech_pos1,field.mech_pos2
1754551891097277033,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.66000366210938,69.16999816894531,54.599998474121094,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.10000000149011612,0.0,0.0,-4.650000095367432,0.0,0.0,27.139999389648438
1754551891107303379,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.66000366210938,68.7300033569336,54.599998474121094,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.019999999552965164,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.949999809265137,0.0,0.0,27.1200008392334
1754551891117380380,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.66000366210938,68.7300033569336,54.63999938964844,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.029999999329447746,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.949999809265137,0.0,0.0,27.1200008392334
1754551891127569806,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.56999969482422,69.26000213623047,54.63999938964844,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.05999999865889549,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.949999809265137,0.0,0.0,27.1200008392334
1754551891137414555,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.63999938964844,54.63999938964844,55.470001220703125,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05000000074505806,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.510000228881836,0.0,0.0,27.0
1754551891147369200,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.63999938964844,54.560001373291016,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05000000074505806,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.300000190734863,0.0,0.0,26.969999313354492
1754551891157524020,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.4800033569336,68.9000015258789,54.66999816894531,55.459999084472656,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05000000074505806,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.489999771118164,0.0,0.0,26.950000762939453
1754551891167431509,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.56999969482422,69.70999908447266,54.66999816894531,55.45000076293945,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05000000074505806,0.0,0.0,-0.10000000149011612,0.0,0.0,-4.489999771118164,0.0,0.0,26.950000762939453
1754551891177602256,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.56999969482422,69.70999908447266,54.65999984741211,55.470001220703125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.05000000074505806,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.489999771118164,0.0,0.0,26.950000762939453
1754551891187569364,4,4,4,1.559999942779541,1.5800000429153442,1.5700000524520874,0.0,0.0,0.0,69.38999938964844,68.7300033569336,54.630001068115234,55.470001220703125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.019999999552965164,0.0,0.0,-0.029999999329447746,0.0,0.0,-4.489999771118164,0.0,0.0,26.950000762939453
